Date/Time,Word Count,en,fr
2022.04.04-09.38.34,1209,0,1209
2022.04.04-10.28.56,1209,659,1209
2022.04.04-11.04.46,1209,997,1209
2022.04.04-11.13.06,1209,1060,1209
2022.04.04-12.26.58,2213,1060,2213
2022.04.04-12.36.38,2213,1228,2213
2022.04.04-12.42.43,2271,1293,2271
2022.04.04-12.53.51,2271,1444,2271
2022.04.04-14.04.13,2271,1602,2271
2022.04.04-16.21.24,2292,1602,2292
2022.04.04-16.28.00,2292,1670,2292
2022.04.04-17.19.08,2292,2127,2292
2022.04.04-17.27.31,2292,2269,2292
2022.04.04-17.28.43,2292,2289,2292
2022.04.04-17.50.01,2281,2228,2281
